reviews,predicted_sentiment
booked stay best western street got phone call 7pm maintenance issue room u sent holiday inn express best western hotel clean bed comfortable front desk staff friendly extremely accommodating,positive
unique fun close legian kuta site walk market,positive
dont know begin hyatt dulles simply made dream reality first day met gyn hyatt knew great hand every email meeting request met timely fashion useful information blown away every time told gyn would take care detail last meeting wedding everything lined walked reception site new husband one else room tear joy running face simply breath taking ceremony reception flawless least know food drink beyond amazing entire staff gyn coordinator chef staff helped day jaun rosie name thank bottom heart making day magical mr mr tolbert,positive
ran food end place great,positive
stayed event convention center great loved breakfast evening food staff always glad help would definitely stay,positive
quick trip business room large clean checkin girl friendly made feel welcomed hotel clean noise issue nice would stay internet seemed little slow still happy stay,positive
great pool terrace hotel facilitiesstaff great self parkingwe drove somewhere everyday palma night,positive
room pretty dated old vanity furniture clean ive experienced historically stay exclusively hilton property breakfast average best hampton inn offer sort meat breakfast none location convenient trip,neutral
servi��o de bar tanto na praia quanto na piscina,positive
husband got married garden god club may 2015 catering staff phenomenal john kerr jayme broadnax went beyond make sure wedding perfect beautiful friendly accommodating made sure everything ran smoothly day wedding food spectacular venue breathtaking still people telling wedding beautiful one theyve ever gone food superb couldnt happier would recommend venue bride,positive
booked room brother nine month advance event every year date paid two queen bed nonsmoking booked directly super 8 arrived check told king bed smoking confirmation showing paid,negative
nice,positive
everything fine holiday inn thing guy front desk kinda seemed lost haha room seemed little bit dated little thing bother great bar lobby,positive
facility great staff make mojkt attentive proactive remember,positive
first room assigned 142 door broken open asked new room gave rm 314 room dirty wall curtain carpet bed linen grossly dirty security chain door gone hair bath tube grime around tube toilet sink kitchen also filthy hanger closet asked front desk never arrived although staying 4 night one towel wash rag waste basket bathroom body ever came clean room make bed change sheet music noise night asked lady desk ever one room see dirty said asked security guard night desk often get broken said many yet see room 142 new door replaced day multiple new door throughout complexi would never stay recommend place anyone,negative
nice,positive
usually stay hotel couldnt find anything price range boston chose 40 berkeley first time staying hostel bit nervous location 40 berkeley really good stayed double room shared bathroom room plain,positive
tv scroll see whats half hour 445 train blowing awaking 6am track close motel great friendly staff clean fresh room,positive
pretty good breakfast great front desk staff good business good family nice neighborhood,positive
convenient location reasonably priced,positive
quiet perhaps cinder block appreciate especially dire need rest room vintage even use normal key instead swipe key card clean bed firm comfy sheet clean soft additional pet fee pay,positive
stayed family one night way town staff friendly professional breakfast variety good good quality indoor pool small good late evening swim kid issue heatac unit room unit little loud light sleeper thermostat took couple hour trial error get room comfortable,positive
hotel nasty dead roach light fixture dead roach coner bathroom filthy smell like urine carpet need cleaning bed small room double bed two people cant sleep comfortable mention bed coverlet,negative
convenient airport,positive
hot day 94 outside hotel lobby slightly cooler first room air working man front desk polite took 40 minute get new room said second day curious hotel would leave alone little experience,positive
made 40 min trip visit webster manor special lunch arrived 1155 monday large parking lot filled already full buffet differs day always includes wonderful fried chicken meat item real southern cooking selection vegetable terrific favorite,positive
santa barbara number occasion last visit pleasure staying simpson house opted stay one cottage ground rather main house pleased decision perfect blend luxury,positive
wife stayed enjoyed chestnut hotel disappointed visit hotel great location within walking distance great restaurant morgantown attraction advantage compensate negative experience room dreary adequate lighting,positive
front desk people nice room looked great upon entry 2nd bed comfortable felt wet spot picked arm find clear wet slime gross couldnt sleep left headed back home,positive
hotel perfect girlfriend getaway,positive
pleasant staff wonderful hot breakfast buffet room clean quiet shower soap shampoo dispenser way better usual sample bottle even gave u senior discount room missed cocktail hour give complimentary drink hot appetizer,positive
hotel best hotel ever stayed far might also entire life especially service speechless got trouble receptionist helped lot even concern really stunning service impressed overall location nice go everywhere quickly hotel breakfast amazing bedding nice clean would stay hotel sure whenever chance go florence,positive
power outlet minimum unplug refrigerator plug micro wave switch back hard find open plug iron,positive
stayed close u naval academy parent weekend wanted especially close yard since didnt know much free time son would haveit worth money,positive
given impression food would wonderful tapa place poor italian oriental good rest nothing special,positive
loved location service pet friendly excellent restaurant nice happy hour many great restaurant fast walk river walkway easy access free trolley metro,positive
il est dsagrable que la grille du parking ne soit pa ferme la nuit alors quelle est close la journe,positive
overall good hotel still process renovation bother room clean everything needed great breakfast,positive
great service brought u lemonade swimming heated pool loungin hammoc huge back yard area breakfast best ive ever life karen like personal martha stuart john husband kept u entertained every morning fabulous tale story life town jumbo hot tub baily room big could almost swim private door screen porch pool perfect access homey beautifully gardened poolpatio area 4 night didnt want go home,positive
pet friendly dog fee 25,positive
quiet comfortable,positive
good long booking confirmation detail didnt get confirmation expedia front desk staff wasnt great help tried bit really call customer care sort thing,neutral
favorite resort love coming back place,positive
room clean great staff,positive
well back,positive
hotel older clean staff couldnt nicer room clean breakfast good,positive
e war ein toller aufenthalt ein schnes zimmer und ein toller spabereich mit einer fantastischen masseurin nur da abendbuffet im seaside lie zu wnschen brig,positive
great location horrible service waited 30 minute 10 pm 4 kid laying hall key didnt work even though worked earlier day reason waited one employee visiting friend room close discovered pull bed sheet,negative
switch 2 nasty hotel 24 hour keona helped reservation phone totally impressed room awesome exception 1 bed frame notified guest host maintenance supposed take look needle say bed,positive
hotel located easy i77 walking distance 4 restaurant pet friendly scott front desk checked friendly helpful room kitchenette full size fridge 2 burner stove dishwasher sink con hotel bed small,positive
family visit decided try laquinta staff friendly helpful room could used little better sound proofing highway noise noise hall room noticeable hotel ive recently stayed room comfortable clean could used little touch,positive
little old fashioned excellent location,positive
good location u see historic area great tv comfortable good breakfast pleasant staff manager,positive
god place stay catch early morning flight staff helpful room large comfortable,positive
wont staying requested king size bed booked hotel checked told although requested king size bed booked room 2 double bed supposed weekend getaway walked first room put smelled horrible like mildew water floor bathroom also noticed trash wasnt emptied bathroom went back front desk told issue immediately told would move u another room wasnt king size bed eitheralmost implying reason u wanting new room second room put wasnt much better used wash cloth hanging shower rod dead bug window sill needle say wont staying,negative
20 room occupied hotel undergoing major renovation nothing said hotel staff nothing assist getting room plywood covering hole passageway stairwell completely blocked etc door room malfunctioned install lock overall room okay really room rented somewhat hazard,negative
felt welcome important room clean nice decor temperature adjustable muffed freeway noise hallway spotless welllit lobby also spotless,positive
arrived 1030 night option go anywhere else everything bowling green booked seedy room awful bedspread bed mattress box spring dirty hole box spring two door one lock worn furniture cable tv bad connection picture online,negative
front desk people nice room cleaner ok forgot refill stuff pool amazingly small breakfast far le adequate,neutral
ive stayed super 8 state one worst one come customer service felt like intruder guest harsh word exchanged trying get fork yes got trouble trying get plastic fork could eat dinner dare assume fork included rate pity next person make mistake indian man yelled completely unprofessional indian lady came see commotion much reasonable deal almost felt bad seemed apologetic man irrational outburst advice stay travelodge day inn road instead,negative
hotel great location near river segura room ideal reception staff helpful breakfast ok worked breakfast staff unhelpful also renovation work going stay meant could park hotel would use,positive
stayed 3 night comfort suite staff helpful knowledgeable friendly room large comfortable lovely swimming pool outside location half way southport oak island convenient plenty sight beach thing close surroundings neighborhood safe plenty parking space enjoyed nice breakfast stay busy weekend breakfast room get packed unfortunately enough space everyone sitting downside wonderful affordable hotel great location,positive
older place people pleasant helpful cleanest bathroom really need grade,positive
pool hot tub area wonderful pool attendant could let kid bit pool responsible parent watching wanted fun pool attendant constantly top fitness room big spacious,positive
stayed four night honeymoon trip staff friendly service great hotel beautiful view port room awesome 6th floor partial sea view room heard noise street one night wasnt bad great location restaurant night life 15 minute walk old towncathedral local 3 bus pick near front hotel go old town great local beach illetes figure would nice hotel tourist info,positive
enjoyed stay hotel great location close shopping restaurant etc man reception kind,positive
due family emergency able make first night called hotel gentleman said would credit night sure due booking expedia im sure credit go,positive
good hotel made feel welcome reception staff pool could done bit clean bar could stayed open later rest hotel comfy clean,positive
adequate price good location near i81 noisy since end service road thru trafficso felt safe regard dark parking area one side moved car night better area little timeworn ok price,neutral
didnt realize motel booked stay wasnt best arrived blizzard one door wouldnt open cold outsideso someone stay room whole night let others bit inconvenient,negative
hotel center olde town alexandria plenty see around hotel beautifully renovated room excellent comfortable bed ate restaraunt found food excellent service good friendly restaraunt noisy however wonderful luxery hotel also dog friendly,positive
food great people restaurant front desk people ok issue getting anything done room answer move another room four day hot water opening window fell arm work room old,negative
requested smoking room accommodated got room started settle noticed big burn hole top blanket bed immediately went front desk told didnt get blamed response got incredible oh know smoking room dont put good blanket bed stood like really said fine dont charge went back room wife told sink stopper almost lost ring drain toilet barely flush sat chair next bed noticed skirt around box spring really really stained dark brown think showed everything going go back figured heck bother didnt seem care blanket burn hole would care issue also bed uncomfortable wife got little sleep woke sore back plus located near mexican bar grill wendys caseys within walking distance pleased hotel certainly stay,negative
loved trip room cute food actually really good bed super comfy great get romantic weekend sb,positive
right purpose,positive
ive stayed lot old restored hotel love one heavy scent bleach morning time thought smelled sewage toilet would barely flush overflowed handed plungera diy hotel location great hotel pit,positive
foi tima hotel tem diferencial de ter quarto para fumantes,positive
stayed week business adequate didnt exceed expectation staff friendly may return im area mostly due lack option note stay hotel undergoing renovation standard amenity provided chain small scale room spacious everything working clean order wall thin woken neighbor turning water even though nonsmoking room still stench stale cigarette treadmill broken see response reporting front desk staff friendly breakfast staff overly accommodating,positive
trip flying jax week booked small room le 40 included free parking time away believe 7 night one night stay amber desk clerk could nicer helpful true professional,positive
change room key pad work bit nuisance always stay grand junction due location would stay,positive
son stayed 2 day basic good enough u slept shower good enough great location walking distance everything close enough subway one thing lobby coffee station clean,positive
would definitely stay check smooth room nice clean side hotel could hear car highway night negative thing could say breakfast ok kid loved whipped cream chocolate chip waffle overall good,positive
enjoyable,positive
relaxing get away family room huge bed die ton amenity full size fridge dish washer huge tub fully stocked kitchen appliance enjoyed quite traffic noise crowd planning another trip end year well worth price,positive
checked checked nice time problem weekend child running hall slamming door spoke soundproof room adequate enough another drawback pool didnt spend much time,neutral
staff friendly room clean also full complimentary breakfast would definitely stay,positive
marriott suite hotel nice hotel decor im thinking recent remodel remind residence inn 14 floor reserved family suite actually room 2 full size bed sofa bed real room 5 4,positive
bed clean dirt lot hair shhets lobby entrance smelled terrible dirty,negative
comforter bed dirty white crusty stain,negative
weak exoerience started reservation issue front desk essentially trashed online thirdparty booking disagreed room chisen asked kjng two double cost say front desk rep eventually oaybyhe 2 upcharge indoor hotel two floor elevator bummer wifi work given alternative still work told front desk checkout indifferent sorry breakfast awful star breakfast packaged sweet roll overall never,negative
business center open 24 hour,positive
great stay definitely back clean great staff yummy breakfast kid loved game room pool loved close everything cant wait book next year thanks bayside,positive
hotel within easy walking distance old town free king street trolley service king street metro making subway commute sight dc easy easy walking shop good restaurant old town parking tight hotel garage take advantage hotel valet parking cost 24 24 hour staff friendly professional helpful added plus hotal petfriendly dont bring dog make sure ask goldfish check great place stay back,positive
attention detail every step way pullman staff friend traveled chicago new orleans travel many time year amtrak sleeping car service pullman always wished amtrak could pullman porter waiter catered every need treated special guest,positive
fantastic food great value,positive
nice comfortable hotel much better preconceived notion best western really spacious suite waffle house mexican next door really appreciated love best western pet friendly,positive
stayed abilene number time weve passing way austin houston visit family love hilton hotel thought wed try hampton inn change pleased accommodation room nice clean quiet bed,positive
large pool slide game room good size small fitness room,positive
come back hotel often tend compare hotel one staff always go beyond friendly helpful room large comfortable clean use pool long drive help relax breakfast free local restaurant walking distance,positive
always try stay laquinta wherever go pet friendly fee keep trip stress free enjoyable love everything new clean date excellent service,positive
bossiershreveport work stayed three week hotel verge needing update still nice personally think room rate little high smoking pet friendly room unlike many chain good great location restaurant nearby walk right interstate,positive
decent room clean small worth price opinion,neutral
hotel accommodating need four people room beg get enough towel etc disappointed housekeeping left dirty cup glass etc hotel also failed give 10 casino free play promised hotelscom booked room hotel casino employee nice easy deal others difficult may long time return,negative
monaco great option business travel location convenient nice amenity exception service hotel staff around great kimpton experience,positive
nice stay despite railroad track nearby,positive
close airport friendly staff free wifi good place stay,positive
spent two night four season suited u fine first floor room door porch liked room well equipped refrigerator iron ironing board hair dryer wifi room water heater best could tell mean really,positive
beer,positive
family funeral attend hotel convenient everything,positive
quick 2 day trip chicago last week another great stay hotel im happy see wonderful renovation completed look great room fantastic hotel staff friendly helpful stay every trip chicago good price great staff even better,positive
although took long time check issue credit card reader take card hotel nice good location good view room move around dunkin donut coffee morning good plus,positive
location bb beautiful suite beautiful breakfast delicious stayed october favorite time year tour lancaster county complaint really could hear running head morning early night fact night arrived young one,positive
nice place stay staff helpfulbreakfast good dont go looking place eat leave day,positive
floor never cleaned corner looked like never cleaned get pay,negative
nice size room clean hotel easy get,positive
ten day trip second hotel stayed pleasant surprise clean hotel bathroom sparkling odor smoke always treat non smoking room price reasonable find staying florence would,positive
attentive accommodating front desk staff good location freeway near shopping thought price could better since stayed part group advance booked whole block room excellent hot breakfast good selection menu item breakfast room got little crowded time,positive
room smelled dirty sock bed hardly large enough one let alone two im 511 225 nothing special location 250 dollar many similar hotel half wife sleep spare bed overpricedpoor value,negative
wife live st louis stayed numerous occasion weekend staycations recently september 2015 getting around reviewing keep short simple hotel beautiful spa pool ridiculous service excellent hotel would drop grand weekend,positive
recently stayed red roof inn erie thoroughly enjoyed stay traveled dog impressed thoughtfulness pet area staff friendly even brought extra towel room room clean,positive
front desk staff friendly bfast good waffle maker room big bed confortable carpet stain bathroom drain clogged lake view great,positive
smelled funny,negative
front desk guy probably manager give unnecessary attitude restaurant closed monday find cheaper hotel stay one night,neutral
business hotel life hampton quality standard staff friendly room clean quiet nothing bad say hotelall good,positive
gondola town take right walk river trail leading beaver pond wife lucky see beaver building dam great walk plenty see,positive
review right mark good rate uw campus area seattle needed good night sleep flight came 930 got rental car drove hotel checked asleep 1100 quiet room well appointed spacious good wifi appreciated free parking,positive
arrived walked room smelled cigarette smoke husband went tot front desk right away let know want charged smoking room arrived came back quickly announced upgrade another room,negative
arrived midnight found assigned smoking room long debate clerk gave nonsmoking room 1000night called expedia next day refunded extra charge otherwise site well maintained located,positive
un hat die nhe zum strand und zum zentrum gefallen auch der wellnessbereich ist spitze,positive
pleased close disneyland enjoyed pool hotel much family friendly,positive
good location 3 min talk metro quite restaurant nearby hotel staff nice kind definitely come back next time although lift small big thing treat vip lift ok luggage stay lift,positive
love,positive
hotel really anything keep finger crossed arent put next loud intimate people wall thin woken sheet really scratchy leftover beard trimming bathroom sink positive note staff friendly accommodating,negative
stayed hotel celebrating thanksgiving close friend live area stayed previous thanksgiving hotel well room time year reasonable staff courteous complimentary breakfast acceptable hotel near first landing state park great good hike bike,positive
great place stay room well organized couch king bed comfortable top list stay travel colorado spring fitness center well equipped breakfast buffet good,positive
always check tripadvisor traveling seemed place pretty decent review decided give shot stayed friday evening chose motel closeness old barn driven place hundred time year without giving much,positive
bed comfortable helpful friendly staff nice breakfast morning hot tub right made feel right home lot nice restaurant close good location indianapolis airport,positive
place terrible shape boarded window couch suite sagging cushion hotel total disrepair chicken bone air conditioner refrigerator door standing open husband one look room left staff available front desk left note stating dissatisfaction facility used expedia year never problem reservation recommend expedia remove knight inn amarillo airport list facility,negative
nice place tv 2 day stayed seemed family lived loud didnt care woke even asking please stop yelling assuming tv loud family fluke may give another try next time,negative
would liked bigger table maybe play card work like pay 400 rent video hotel stayed charge video use right beach easy access beach room staff nice extreamly let helpful,positive
pa de bons service petits dej inclus mais pour deux personnes nous etions quatre apres discussion un bon pour le dej gratuit pour le quatre mais en fait dans une limite de 20 dollar soit impossible de prendre de dej la carte correctement avec un jus orange 380 dollar,neutral
great time hot spring pool delightful everything clean comfortabletowels available pool hot spring area would highly recommend staying lodge,positive
pleasant staff clean room nice hotel would stay,positive
staff exceptional room amazing executive upgrade week worth money breakfast delicious ordered room device free charge tea time evening snack lounge excellent unlimited drink evening 68 love would definitely return,positive
great experience breakfast poor,positive
staff friendly stingy persuade front desk give towel amount people staying room rented 2 bug big found one drawer child discovering room continental breakfast lacked waffle maker main course cereal stale coffee old burnt source protein present,negative
v nice gal desk rachel,positive
great hotel,positive
nicely remodeled room bathroom still seems bit outdated nice room,positive
recently went lobby twelve date night perfect atmosphere intimate classy changed interior around little updated furniture making even better great time enjoying delicious food tasty cocktail,positive
room lobby clean lady checked reception incredibly nice efficient amenity good breakfast standard low quality hotel breakfast fare room clean neat wet area carpet near bed kept stepping bit,positive
want room one night fly good place frill nothing exciting write home queen bed bath tv shuttle service tofrom jax airport good prompt getting u airport picking u taking u back,positive
ramada inn 1972 obviously renovated keep since except obnoxious color outside pool closed locked gate poolside lounge chair amenity listed site factual continental breakfast joke could go worth time spent 3 night slept little noise overall unsafe feeling would recommend motel would stay 4900 may sound reasonable original ramada inn price 1250 1972 going rate hot spotkeep looking sleep car,positive
stayed country inn suite galena midweek get away hotel perfect location five minute drive downtown hotel clean quiet nod absolutely best breakfast included certainly enjoyed visit galena stay country inn suite,positive
nice place much noise coming outside room,positive
everything totally seamless staff great room great walk walk advertised surprise,positive
disgusting appearance colour insideand outside motel orange everywhere hideous room small cramped old rough neighborhood,negative
htel bien tenu parfaitement situ 20 minute en bus de venise le bus vous dpose devant cest pratique un trs bon rapport qualit prix recommander pour le personnes qui ne peuvent loger dans un palace de venise,positive
exterior uninviting tired get road suppose location priced lower chain although still seemed bit high even aaa discount desk clerk cheerfully applied check forgot room basic clean bath dated clean,neutral
appreciated contemporary decor staff really nice hotel clean looking however room ac old window unit room hot humid musty wasnt comfortable sleeping heat although wide array breakfast choice nice seating family terrible stand 2 kid table 2 small tablecounter high kid sit comfortably safely everything looked good missing mark real comfort accomodation family fine couple adult,neutral
quality inn older motel staff excellent room clean carpet could stood replaced good trip location wonderful convienient almost everything staff even housekeeper helpful paid 49 plus,positive
air conditioner barely kept mold ceiling shower grab bar came hand shoved two wornout hole fiberglass,negative
front desk attendant unfriendly bathtub faucet drain control faulty pillow hard comfort breakfast barely adequate amenity inappropriate 100 night,neutral
staff hotel restaurant horrible view really nice pool bar nice although close leisure found broken glass bar ground restaurant told hostess went sat u came back buffet back stand glass floor still night dinner waiter slow wasnt busy food ok wasnt worth price,neutral
second time weve stayed room clean everything worked well staff accommodating travel dog liked room well worth short drive town get marking one one favorite,positive
surprised quality franchise super 8 patels high exacting standard reflected room stayed night quality furniture pleasing equal hampton holiday inn express etc would without doubt return hotel,positive
experience enjoyable pet friendly decent outdoor area poop bag dog room clean updated looking good breakfast bar lot fo choice friendly staffa great place stop traveling along i5 staying area,positive
location room facility great surprise staff quality personable helpful first reaction management know accomodate,positive
average hotel offering good night sleep,neutral
great stay definitely appreciated ac cranked walked room especially since 100 day room comfortable decent rate thanks,positive
got headache every time went room think mold wall bug bed didnt stay second night paid,negative
room location fine venice need improve breakfast wifi ok could improved,neutral
hotel und service waren super die dusche war der hammer frhstcks bffet war auch sehr reichhaltig und gut knnen wir nur empfehlen,positive
first time americinn property driving crosscountry found clean quite nice usually lok comfort inn laquinta chain found right line nice hotel midprice range would stay hotel,positive
decided return zion moab extra two day instead going st george tried get room place stayed beginning trip sold based trip advisor rating tried cliffrose lodge garden man ever glad,positive
moeilijk te vindenverder alles oke prima ontbijt jammer dat het niet bekend dat het restaurant het wekend gesloten,positive
great especially price,positive
say elegant staff professional courteous helpful criticism checkin 3 pm would preferred earlier checkin excellent exercise room smallish comfortable pool pricey wellworth,positive
way loud way could got pool would never go without shoe room carpet nasty room seem dark,negative
friendly helpful staff close location event attending good hot breakfast though would liked either sausage bacon well eating area bit cramped made work really nice staff better laqunitas stayed,positive
view hotel fantastic overlooking san diego bay skyline staff great getting u wedding venue tom ham lighthouse,positive
first time hyatteverything available room clean friendly staff problem also good breakfast stay,positive
first night springhill suite columbia maryland subpar best left toronto 5am morning travelled straight maryland time arrived room offered u accessibility room right front door close breakfast great receptionist charged,positive
got smaller room reserved dog floor barked breakfast one worst ever husband could eat location convenient bay bridge si thats booked pwe felt overpriced got room looked dated,neutral
say anything need clean air vent room first time staying holiday inn nothing negative say stay absolutely wonderful time approached front desk time left tim desk greathe made sure happy room breakfast goodeggsturkey sausage canadian baconsausage gravy cereal fruit etcthey neat pancake maker push button come overall wonderful experience highly recommend hotel,positive
cc tv paid one night cc tv staff people rarely desk arrived one assist,negative
breakfast horriblevery low quality prepared food cheep low quality prepackaged foodended throwing away breakfast going bob evans real foodvery disappointed,positive
great location room wonderful need something dog smell though dog could tell pet friendly window didnt open way get fresh air would stay though convenient everything,positive
shampoo bathroom,positive
worst hotel stay ever experienced room dirty checked towel bathroom everyday go check desk get towel housekeeping clean room thank god stayed busy little brother air force graduation activity sheet dirty bed even worth price paid hotel shut demolished,negative
staff really nice provide breakfast dinnerboth good dinner even come 3 drink nice stay close shopping downtown great location slept really well bed room nice jacuzzi bonus hope come back wish,positive
ive many hotel never stayed one place store clothes usual rod hanger dresser odd fridg stored shelf way head made noise like airplane room overall dismal took shower water wouldnt drain happier note service unclog drain bad service person said drain full hair hmmm attended quite awhile id imagine,negative
sjour inoubliable cadre magnifique avec splendide vue sur la baie de propriano le service est exceptionnel un grand merci bien mrit toute lquipe,positive
bed bug back,negative
stay hotel often meeting facility nearby consistently first rate staff professional accommodating top everything hot breakfast experienced,positive
room small little crowded three people breakfast area pretty small well table much variety breakfast however clean staff seemed friendly helpful stayed 6 day overall good value,positive
really liked hotel room spacious clean bathroom especially clean get grossed easily nothing grossed didnt even wear flip flop shower ended staying two different drury inn weekend choice hot tub order first hotel really wanted spend evening hot tub first night stayed drury inn grove city 1015 minute drive hotel recently remodeled room fresh looking new feel drury inn downtown great layout older place free popcorn soda free happy hour get wine served free food throughout day help save little food stay,positive
train history buff enjoy train travel liked amtrak longdistance train trip took right pullman trip based oneway trip pullman train chicago new orleans think pullman rail journey great idea poorly executed love idea vintage rail car,positive
nice comfortable,positive
air worked 60 water never hot,negative
friendly staff hotel middle north platte minute interstate nice clean pool area room moderately sized would stay stopping north platte great value,positive
motel mostly vacant apparently flooded room fan operating hallway pleasant odor room passable probably wont area wouldnt stay,negative
great comfortable room,positive
nice comfortable room rest facility dire need improvement,positive
horrible switch 3 room 3 day,negative
hotel great complaint,positive
got phone woman assumed owner inquired booking two double room four employee woman nerve ask spoke english would supervisor caucasian fyi proceeded tell,negative
good hotel big room carpet floor grey colour make feel sad happy,positive
quick check clean small standard king bed room comfortable bed good breakfast 195 room rate plus tax excessivedidnt feel like worth itbut summer bend,positive
love hotel nice could tell building old building french quarter staff nice professional downfall parking knew going staff kind enough let u know there parkin street would definitely stay whenever im,positive
fancy motel clean comfortable good bed clean recommend,positive
good location clean room quality front desk people,positive
long weekend husband see dc museum arlington natl cemetery hotel staff extremely nice helpful one gentleman saved u held metro multiple closing along route would taken treated guest hotel plan returning child,positive
figur�� que era algo mejor muy sucio el hotel lastimosamente uno online se da cuenta de muchas cosas sobre la higiene del lugar otras cosas,positive
worried would bit far action vieux carre indeed sight activity within short walk check quick staff front desk friendly helpful suggestion room noted review small side,positive
great room family goto room columbia sc,positive
would stay againi would rather pay get nice place,positive
second time staying river room nice hotel great friendly staff make feel welcomed take care stay nice large room good view 3rd floor river walking distance number restaurant city hall 101 bar half block,positive
great location decent amenity corner room wanted nothing starbucks mall nearby super location great rate sweet experience always stay come visit family,positive
toilet snaked plaster coming wall chunk window price much nicer hotel,negative
window shade falling get tape fix nobody could see one towel room broken end table next bed good checked late nite would never stayed,negative
good short stay check fast friendly staff room average size bathroom clean lack toiletry body wash shampoo conditioner tiny soap bed comfortable breakfast toast jelly vending machine pastry easy access freeway safe area,neutral
wonderful getaway hilton quality great location friendly staff bedding super nice room immaculate pool hot tub warm nice quiet normally dont sleep much hotel ended sleeping 10 hour straight business bringing hubby nice weekend load great place visit downtown bay city within walking distance live 60 mile away like vacation experience hilton touch bay city lot offer dining entertainment shopping,positive
stay hotel resent visit crescent city pleasantly surprised quiet 10 minute walk bourbon street location perfect staff friendly helpful tip go get around city breakfast adequate,positive
travel quite frequently must admit service accommodation hotel amazing entered door bellman greeted offered assistance reached front desk greeted enthusiastically room immaculate kudos housekeeping team hotel especially appreciated refrigerator coffee maker,positive
muy bien solo que el personal de limpieza te molesta muy temprano limpia muy tarde deja completo lo que necesitas toallitas faciales agua kleenex etc,positive
great affordable budget,positive
stink dirty dont wash bed spread towel guest check room smoking evening non smoking room body check clealiness room clean mold build toilet tub griry grimey yvonne clueless sandy manager cousin general manager customer service skill health department need shut bed bug hotel slept chair due time night nastiness,negative
overall enjoyed hotel issue fridge room extremely loud kept awake part night unplugged good deal nice quality,positive
son attending camp naval academy overall hotel nice main road private drive nothing within walking distance shop restaurant close hotel staff need stay top breakfast food ran number guest eating little crazy,positive
staff nice friendly room clean breakfast bar little scant yum fresh waffle pool refreshing towel pool room hot tub running,positive
hotel employee friendly great weekend,positive
needed hotel single night adequate,positive
arrived greated friendly staff jill front desk nice show u amenity resort let say room wonderful view room stunning far best place stay colorado spring,positive
nice hotel staff warm inviting room clean smelled good unlike someother hotel smell like dirty sock bed comfy cover nice soft also smelled clean hotel located next mall lot place eat,positive
suddenly without place stay fortunate enough get room b b cambridge guesthouse exceeded expectation say least staff super friendly serf guest delicious creps breakfast everything neat clean room good kitchen clean cozy place,positive
2 day relaxation beautifully kept private location close everything,positive
good hotel absolutely decent restaurant within mile mean mile,positive
bad stay began check reserved room one card wished pay another manager checked u tell would hold placed card room known going place hold original card would,negative
wonderful always,positive
nice hotel stay often hate really high price 190 night basic room,positive
third trip pullman rail journey always nice time personal service pullman staff outstanding personally greeted first class lounge chicago union station luggage placed trackside new orleans everything done make trip,positive
love stay red roof room nice member team jessica property 054 excellent professional clean room good attends need hotel luxury member treat good,positive
stayed many laquintas always satisfied one worst ever stayed checked went room smelled awful think someone smoking something awful took shoe floor bathroom sticky husband,negative
room actually clean except bed one pillow toe nail clipping curly hair clean shower head felt like car wash uncomfortable shower fridge microwave didnt work overall bad though need place sleep like u priced right think,neutral
stayed 5 night april room clean importantly bed comfortable slept well always case staff friendly helpful would recommend hotel anyone looking moderately priced abode edinburg texas,positive
even though business trip conference job food good wonderful view river likely return leisure trip family staff nice friendly room clean,positive
pool close 930pm,positive
room clean comfortable disappointed hair dryer work tv channel major network ie cbs nbc abc room rate seemed higher usually pay probably due upcoming july 4th holiday since checked 27th,neutral
hot tub pool area free look ocean awesome view also room snack bar thing open move item charged,positive
un htel au design moderne et soign dans un cadre hupp et trs calme 2 pa de la tour eiffel un spa trs sympathique un staff trs chaleureux jen garde un trs bon souvenir jy retournerais bien volontiers,positive
read review booked stay week ago stayed 3 day son wedding stayed 4 year ago experience ok great thought would try family friend stay also one worse experience,positive
convenient location right highway bed comfortable room warm felt safe traveling alone hotel little outdated worn around edge tell work keep clean,neutral
room clean didnt feel comfortable cigarette burn comforter,positive
way maine watkins glen raceway booked room super 8 quiet neighborhood far ny thruway place everything could want overnight stay friendly service clean comfortable room good wifi good tv selection thing require received super 8 also thing longer stay guest laundry room hair dryer iron small fitness room reasonable price give place 5 star,positive
continental breakfast lacked variety one flavor yogurt one flavor prepackaged bagel one flavor prepackaged muffin hot buffet item first floor able walk straight room step going beach,positive
dirty room cokroch bed hair place dont stay,negative
shabby place need upgrade cleaning nice nite front desk lady,neutral
beautiful hotel guest loud screaming fighting hall smoking room causing smoke alarm go middle night dealt staff immediately stayed year ago switched total transformation breakfast hot fresh room spotless,positive
posto incantevole staff gentilissimo ottima colazione le stanze sono grandi e spaziose nonch dotate di bidet da consigliare la piscina bellissima con il personale gentilissimo e disponibile,positive
nice hotel usually expect country inn suite water slide pool area plus especially kid comfortable room breakfast good cooky front desk nice well negative would ac soooo noisy time even difficult hear tv noise couldnt higher volume courteous guest checked noise ac enough couldnt add tv noise also disturb peace,positive
greatful owner lake great accomadations plenty walking distance boating restaurant nightspot every scenic thought place diamond rough diffinitley heading back winter,positive
good place stay terribly close terribly far anything staff nice room normal hotel room price fair kinda like purgatory could use fridge though,positive
staff friendly except kitchen staff snippy told oj working properly didnt let affect review room nice love pillow pool small shallow perfect mini getaway kid school starting fall hot tub nice great location shopping many restaurant short drive areasattractions,positive
vacances en espagne super,positive
